Scope,       Name,        Type,        Offset,      Child        
0,           math,        package,     None,                     
0,           fmt,         import,      None,                     
0,           a,           int,         0,                        
0,           f,           func,        None,        1            
0,           main,        func,        None,        2            
1,           b,           int,         -4,                       
2,           a,           int,         0,                        
2,           f,           float,       4,                        
2,           g,           float,       8,                        
